EGID,BFS_NR,GDEHISTID,BFS_GEMEINDE,ESID,STRNAMK1_HPT,STRNAMK1,DEINR,DEINR_ZUS_HPT,GBEZ,PLZ,PLZZ,PLZNAME,EGRID,PRZNUMMER,GBPER_CODE,LTYP,LTYP_TXT,GEBNR,E_COORD,N_COORD,EDID,EGAID,DOFFADR,DKODE,DKODN,GSTAT,GSTAT_TXT,GKAT,GKAT_TXT,GKLAS,GKLAS_TXT,GBAUJ,GBAUM,GBAUP,GBAUP_TXT,GABBJ,GAREA,GVOL,GVOLNORM,GVOLNORM_TXT,GTERRA,GASTW,GANZWHG,GAZZI,GSCHUTZR,GEBF,GENH1,GENH1_TXT,GWAERSH1,GWAERSH1_TXT,GWAERZH1,GWAERZH1_TXT,GWAERDATH1,GENH2,GENH2_TXT,GWAERSH2,GWAERSH2_TXT,GWAERZH2,GWAERZH2_TXT,GWAERDATH2,GENW1,GENW1_TXT,GWAERSW1,GWAERSW1_TXT,GWAERZW1,GWAERZW1_TXT,GWAERDATW1,GENW2,GENW2_TXT,GWAERSW2,GWAERSW2_TXT,GWAERZW2,GWAERZW2_TXT,GWAERDATW2,KOORD_ORIGIN,DAT_VERARB
209681,1061.0,15600.0,Luzern,10069522.0,Büttenenhalde,Büttenenhalde,25,,,6006,0,Luzern,CH928996503557,3642.0,112.0,,,112.4182,2669799.211,1211803.568,0,100217365.0,1.0,2669803.895,1211806.87,1004,bestehend,1020.0,Mit Wohnnutzung,1110.0,Gebäude mit 1 Wohnung,1976.0,,8015.0,1971-1980,,79.0,,,,0.0,2.0,1.0,,,,7542.0,Holz (Pellets),857.0,Gemäss Kontaktperson,7431.0,Heizkessel (gen.) für mehr. Geb.,2022-11-08 00:00:00+00:00,7500.0,Keine,857.0,Gemäss Kontaktperson,7400.0,Kein Wärmeerzeuger,2022-11-08 00:00:00+00:00,7542.0,Holz (Pellets),857.0,Gemäss Kontaktperson,7630.0,Heizkessel (generisch),2022-11-08 00:00:00+00:00,7500.0,Keine,857.0,Gemäss Kontaktperson,7600.0,Kein Wärmeerzeuger,2022-11-08 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
209682,1061.0,15600.0,Luzern,10069522.0,Büttenenhalde,Büttenenhalde,26,,,6006,0,Luzern,CH928996503557,3643.0,112.0,,,112.4181,2669796.04,1211809.455,0,100217366.0,1.0,2669800.918,1211812.62,1004,bestehend,1020.0,Mit Wohnnutzung,1110.0,Gebäude mit 1 Wohnung,1976.0,,8015.0,1971-1980,,82.0,,,,0.0,2.0,1.0,,,,7542.0,Holz (Pellets),857.0,Gemäss Kontaktperson,7431.0,Heizkessel (gen.) für mehr. Geb.,2022-11-08 00:00:00+00:00,7500.0,Keine,857.0,Gemäss Kontaktperson,7400.0,Kein Wärmeerzeuger,2022-11-08 00:00:00+00:00,7542.0,Holz (Pellets),857.0,Gemäss Kontaktperson,7630.0,Heizkessel (generisch),2022-11-08 00:00:00+00:00,7500.0,Keine,857.0,Gemäss Kontaktperson,7600.0,Kein Wärmeerzeuger,2022-11-08 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
209683,1061.0,15600.0,Luzern,10069522.0,Büttenenhalde,Büttenenhalde,36,,,6006,0,Luzern,CH913596508987,3605.0,112.0,,,112.4191,2669835.586,1211797.708,0,100217367.0,1.0,2669825.012,1211800.482,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1976.0,,8015.0,1971-1980,,298.0,,,,0.0,5.0,17.0,,1.0,,7542.0,Holz (Pellets),857.0,Gemäss Kontaktperson,7431.0,Heizkessel (gen.) für mehr. Geb.,2022-11-08 00:00:00+00:00,7500.0,Keine,857.0,Gemäss Kontaktperson,7400.0,Kein Wärmeerzeuger,2022-11-08 00:00:00+00:00,7542.0,Holz (Pellets),857.0,Gemäss Kontaktperson,7630.0,Heizkessel (generisch),2022-11-08 00:00:00+00:00,7500.0,Keine,857.0,Gemäss Kontaktperson,7600.0,Kein Wärmeerzeuger,2022-11-08 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
209684,1061.0,15600.0,Luzern,10069522.0,Büttenenhalde,Büttenenhalde,37,,,6006,0,Luzern,CH913596508987,3605.0,112.0,,,112.4190,2669830.407,1211825.859,0,101627596.0,1.0,2669820.724,1211827.231,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1976.0,,8015.0,1971-1980,,447.0,,,,0.0,9.0,24.0,,1.0,,7542.0,Holz (Pellets),857.0,Gemäss Kontaktperson,7431.0,Heizkessel (gen.) für mehr. Geb.,2022-11-08 00:00:00+00:00,7500.0,Keine,857.0,Gemäss Kontaktperson,7400.0,Kein Wärmeerzeuger,2022-11-08 00:00:00+00:00,7542.0,Holz (Pellets),857.0,Gemäss Kontaktperson,7630.0,Heizkessel (generisch),2022-11-08 00:00:00+00:00,7500.0,Keine,857.0,Gemäss Kontaktperson,7600.0,Kein Wärmeerzeuger,2022-11-08 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
209687,1061.0,15600.0,Luzern,10139507.0,Seeburgstrasse,Seeburgstr.,39,,,6006,0,Luzern,CH559750893531,2806.0,112.0,,,112.4199,2668738.972,1211370.898,0,100217369.0,1.0,2668735.038,1211365.337,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1975.0,,8015.0,1971-1980,,777.0,,,,0.0,6.0,11.0,,1.0,1634.0,7530.0,Heizöl,855.0,Gemäss Feuerungskontrolle,7434.0,Heizkessel kond. für ein Geb.,2024-06-04 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7400.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,7530.0,Heizöl,855.0,Gemäss Feuerungskontrolle,7630.0,Heizkessel (generisch),2024-06-04 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
209693,1061.0,15600.0,Luzern,10139507.0,Seeburgstrasse,Seeburgstr.,8,,,6006,0,Luzern,CH543550897302,1478.0,112.0,,,112.4213,2668386.757,1211664.924,0,100215678.0,1.0,2668397.295,1211668.13,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1978.0,,8015.0,1971-1980,,444.0,,,,0.0,8.0,28.0,,1.0,,7520.0,Gas,870.0,Gemäss Versorgungswerk,7430.0,Heizkessel (gene.) für ein Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7520.0,Gas,855.0,Gemäss Feuerungskontrolle,7630.0,Heizkessel (generisch),2024-06-04 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
209698,1061.0,15600.0,Luzern,10139507.0,Seeburgstrasse,Seeburgstr.,24,,,6006,0,Luzern,CH289450358979,3430.0,112.0,,,112.3922,2668430.086,1211561.769,0,100215683.0,1.0,2668423.156,1211565.153,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1970.0,,8014.0,1961-1970,,266.0,,,,0.0,5.0,7.0,,1.0,,7530.0,Heizöl,864.0,Kantonale Daten/Gebäudeprogramm,7431.0,Heizkessel (gen.) für mehr. Geb.,2018-10-16 00:00:00+00:00,,,,,,,,7530.0,Heizöl,864.0,Kantonale Daten/Gebäudeprogramm,7630.0,Heizkessel (generisch),2018-10-16 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
209699,1061.0,15600.0,Luzern,10139507.0,Seeburgstrasse,Seeburgstr.,22,,,6006,0,Luzern,CH289450358979,3430.0,112.0,,,112.3921,2668447.293,1211572.163,0,100215684.0,1.0,2668446.426,1211579.216,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1970.0,,8014.0,1961-1970,,266.0,,,,0.0,5.0,7.0,,1.0,,7530.0,Heizöl,864.0,Kantonale Daten/Gebäudeprogramm,7431.0,Heizkessel (gen.) für mehr. Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7530.0,Heizöl,864.0,Kantonale Daten/Gebäudeprogramm,7630.0,Heizkessel (generisch),2024-06-04 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
209704,1061.0,15600.0,Luzern,10117277.0,Seefeldstrasse,Seefeldstr.,6,,,6006,0,Luzern,CH573589965089,3651.0,112.0,,,112.4390,2668491.488,1211677.013,0,100215689.0,1.0,2668504.202,1211678.375,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1981.0,,8016.0,1981-1985,,330.0,,,,0.0,4.0,10.0,,,930.0,7520.0,Gas,869.0,Gemäss Baubewilligung,7431.0,Heizkessel (gen.) für mehr. Geb.,2020-03-02 00:00:00+00:00,,,,,,,,7520.0,Gas,869.0,Gemäss Baubewilligung,7630.0,Heizkessel (generisch),2020-03-02 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
209705,1061.0,15600.0,Luzern,10117277.0,Seefeldstrasse,Seefeldstr.,8,,,6006,0,Luzern,CH573589965089,3651.0,112.0,,,112.4390,2668481.698,1211658.514,0,100215690.0,1.0,2668484.903,1211662.531,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1981.0,,8016.0,1981-1985,,383.0,,,,0.0,5.0,18.0,,1.0,1490.0,7520.0,Gas,869.0,Gemäss Baubewilligung,7431.0,Heizkessel (gen.) für mehr. Geb.,2020-03-02 00:00:00+00:00,,,,,,,,7520.0,Gas,869.0,Gemäss Baubewilligung,7630.0,Heizkessel (generisch),2020-03-02 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
209706,1061.0,15600.0,Luzern,10117277.0,Seefeldstrasse,Seefeldstr.,10,,,6006,0,Luzern,CH573589965089,3651.0,112.0,,,112.4391,2668512.243,1211643.035,0,100215691.0,1.0,2668524.771,1211644.282,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1981.0,,8016.0,1981-1985,,331.0,,,,0.0,4.0,10.0,,,930.0,7520.0,Gas,869.0,Gemäss Baubewilligung,7431.0,Heizkessel (gen.) für mehr. Geb.,2020-03-02 00:00:00+00:00,,,,,,,,7520.0,Gas,869.0,Gemäss Baubewilligung,7630.0,Heizkessel (generisch),2020-03-02 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
209707,1061.0,15600.0,Luzern,10117277.0,Seefeldstrasse,Seefeldstr.,12,,,6006,0,Luzern,CH573589965089,3651.0,112.0,,,112.4391,2668502.474,1211624.556,0,100215692.0,1.0,2668505.811,1211628.454,1004,bestehend,1030.0,Wohngebäude m. Nebennutzung,1122.0,Gebäude mit 3+ Whgen,1981.0,,8016.0,1981-1985,,383.0,,,,0.0,5.0,18.0,,1.0,1490.0,7520.0,Gas,870.0,Gemäss Versorgungswerk,7430.0,Heizkessel (gene.) für ein Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7520.0,Gas,855.0,Gemäss Feuerungskontrolle,7630.0,Heizkessel (generisch),2024-06-04 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
209708,1061.0,15600.0,Luzern,10117277.0,Seefeldstrasse,Seefeldstr.,14,,,6006,0,Luzern,CH595089963522,3653.0,112.0,,,112.4388,2668533.066,1211609.108,0,100215693.0,1.0,2668545.978,1211610.569,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1981.0,,8016.0,1981-1985,,330.0,,,,0.0,4.0,10.0,,,930.0,7520.0,Gas,869.0,Gemäss Baubewilligung,7431.0,Heizkessel (gen.) für mehr. Geb.,2016-08-24 00:00:00+00:00,,,,,,,,7520.0,Gas,869.0,Gemäss Baubewilligung,7630.0,Heizkessel (generisch),2016-08-24 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
209709,1061.0,15600.0,Luzern,10117277.0,Seefeldstrasse,Seefeldstr.,16,,,6006,0,Luzern,CH595089963522,3653.0,112.0,,,112.4388,2668523.945,1211589.725,0,100215694.0,1.0,2668526.658,1211594.602,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1981.0,,8016.0,1981-1985,,416.0,,,,0.0,5.0,18.0,,1.0,1490.0,7520.0,Gas,869.0,Gemäss Baubewilligung,7431.0,Heizkessel (gen.) für mehr. Geb.,2016-08-24 00:00:00+00:00,,,,,,,,7520.0,Gas,869.0,Gemäss Baubewilligung,7630.0,Heizkessel (generisch),2016-08-24 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
209711,1061.0,15600.0,Luzern,10187972.0,Kreuzbuchstrasse,Kreuzbuchstr.,86,,,6006,0,Luzern,CH189350358943,3322.0,112.0,,,112.4471,2668661.485,1211544.6,0,100215696.0,1.0,2668669.713,1211538.805,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1983.0,,8016.0,1981-1985,,425.0,,,,0.0,5.0,6.0,,1.0,,7520.0,Gas,870.0,Gemäss Versorgungswerk,7430.0,Heizkessel (gene.) für ein Geb.,2024-06-04 00:00:00+00:00,,,,,,,,7520.0,Gas,855.0,Gemäss Feuerungskontrolle,7630.0,Heizkessel (generisch),2024-06-04 00:00:00+00:00,,,,,,,,Gebäude,2026-08-11 00:00:00+00:00
209712,1061.0,15600.0,Luzern,10187972.0,Kreuzbuchstrasse,Kreuzbuchstr.,86,,,6006,0,Luzern,CH189350358943,3322.0,112.0,,,112.4472,2668654.291,1211504.172,0,100215697.0,1.0,2668658.031,1211504.571,1004,bestehend,1020.0,Mit Wohnnutzung,1122.0,Gebäude mit 3+ Whgen,1983.0,,8016.0,1981-1985,,484.0,,,,0.0,5.0,7.0,,1.0,,7530.0,Heizöl,860.0,Gemäss Volkszählung 2000,7431.0,Heizkessel (gen.) für mehr. Geb.,2001-11-29 00:00:00+00:00,,,,,,,,7530.0,Heizöl,860.0,Gemäss Volkszählung 2000,7630.0,Heizkessel (generisch),2001-11-29 00:00:00+00:00,7500.0,Keine,860.0,Gemäss Volkszählung 2000,7600.0,Kein Wärmeerzeuger,2001-11-29 00:00:00+00:00,Gebäude,2026-08-11 00:00:00+00:00
